Word,Valence,Arousal
ABDOMEN,4.77,5.05
ACID,3.14,6.53
ACORN,5.47,4.04
ACROBAT,6.01,5.99
ACTOR,5.76,5.6
ACTRESS,6.09,5.45
ADOLESCENT,5.17,5.43
ADULT,5.77,5.4
AFRICA,5.47,5.54
AGENT,4.9,5.54
AIRCRAFT,5.7,6.2
AIRPLANE,5.68,6.15
AIRPORT,5.37,6.26
ALBUM,6.06,4.4
ALLEY,4.6,5.55
ALLIGATOR,4.27,6.68
ALMANAC,5.67,4.39
ALMOND,6.15,4.43
AMBULANCE,3.91,7.1
ANCESTOR,6.07,4.73
ANCHOR,5.12,4.36
ANGEL,7.13,4.05
ANIMAL,6.35,5.14
ANKLE,5.23,4.53
ANT,4.04,5.18
ANTEATER,4.99,5.16
ANTELOPE,5.81,4.56
ANTENNA,5.19,4.78
ANTLER,5.22,5.05
APARTMENT,5.35,4.67
APE,5.51,5.87
APPENDAGE,4.83,5.14
APPLE,6.86,4.54
APPLICATION,5.05,5.24
APRON,5.29,4.07
ARCHITECT,5.79,5.1
ARENA,5.51,5.89
ARM,5.44,4.61
ARMY,4.76,6.64
ARROW,5.17,5.83
ARTERY,4.82,5.61
ARTICLE,5.4,4.81
ARTIST,6.53,4.91
ASH,3.93,4.77
ASHTRAY,3.08,5.23
ASIA,5.96,5.44
ASPIRIN,5.5,4.77
ASSISTANT,5.56,4.88
ASSOCIATE,5.26,4.79
ASTEROID,4.89,6.51
ASTRONAUT,6.58,5.96
ATHLETE,6.06,5.89
ATLAS,5.89,4.82
ATMOSPHERE,5.97,4.4
ATOM,5.59,5.22
ATTIC,5.05,4.77
ATTIRE,5.57,4.75
ATTORNEY,4.22,6.24
AUDIENCE,5.53,5.78
ESSAY,4.47,5.22
EUROPE,6.43,5.48
EWE,5.37,3.96
EXPERT,6.06,5.27
EXPLOSION,3.06,7.85
EYE,5.75,4.96
EYELASH,5.65,4.61
AUNT,6.39,4.35
AUTHOR,5.98,4.51
AUTOMOBILE,5.9,5.67
AWARD,6.92,6.1
BABY,6.69,4.84
BACK,4.96,4.77
BACKBONE,5.47,5.13
BACON,6.77,5.67
BADGE,5.16,5.53
BAG,5.39,4.47
BAIT,4.46,5.34
BAKER,6.25,4.11
BALCONY,6.1,4.37
BALL,5.86,5.02
BALLERINA,6.35,4.82
BALLOON,6.43,4.28
BALLOT,5.21,5.22
BANANA,6.68,4.45
BAND,6.2,5.52
BANDAGE,4.25,5.47
BANDANNA,5.26,4.5
BANDIT,3.14,6.81
BANJO,5.91,5.09
BANK,5.22,5.48
BANKER,4.54,5.44
BANNER,5.47,4.73
BANQUET,6.3,5.33
BARK,4.63,5.65
BARLEY,5.34,4.12
BARN,5.68,3.98
BARRACUDA,4.05,6.59
BARREL,5.12,4.51
BARTENDER,5.71,5.35
BASEBALL,5.88,5.26
BASEMENT,4.98,4.67
BASKET,5.6,4.22
BASKETBALL,5.85,5.56
BASSINET,5.61,4.11
BATH,6.44,3.11
BATHROOM,5.04,4.52
BATHTUB,6.05,3.22
BATTERY,5.18,5.31
BAY,6.12,3.54
BEAD,5.51,4.52
BEAKER,5.26,4.86
BEAN,5.63,4.39
BEAR,5.28,6.78
BEARD,5.11,4.97
BEAST,3.79,6.69
BEAVER,5.56,4.91
BED,6.91,3.05
BEDROOM,6.45,3.93
BEE,4.32,6.32
BEEF,5.93,5.32
BEER,5.71,5.28
BEET,4.55,4.42
BEETLE,4.15,5.51
BEGGAR,3.32,5.82
BELL,5.8,5.09
BELLY,4.83,4.9
BELT,5.04,4.81
BENCH,5.46,4.06
BERRY,6.82,4.4
BEVERAGE,6.52,4.54
BIBLE,4.8,4.23
BIKE,6.24,5.21
BILL,3.9,5.75
BINDER,5.01,4.51
BIOLOGIST,5.93,5.12
BIRD,6.44,4.31
BISCUIT,6.28,4.17
BISON,5.55,5.03
BLACKBERRY,6.47,4.53
BLACKBOARD,5.16,4.64
BLADE,4.42,6.53
BLANKET,6.47,2.74
BLENDER,5.53,5.16
BLOCKADE,3.83,6.21
BLOSSOM,6.89,3.84
BLOUSE,5.89,4.64
BLUEBERRY,6.89,4.35
BLUEJAY,6.54,4.38
BLUEPRINT,5.48,4.72
BOARD,5.12,4.37
BOAT,6.26,4.52
BODY,5.66,5.56
BOLT,4.94,5.37
BOMB,2.25,7.5
BONE,4.87,5.13
BOOK,6.98,3.83
BOOT,5.27,4.7
BOOTH,5.25,4.52
BOSS,4.39,6.14
BOTTLE,5.45,4.56
BOUILLON,5.5,4.38
BOULDER,4.93,4.69
BOULEVARD,5.52,4.6
BOUQUET,6.55,4.14
BOWL,5.51,4.21
BOX,5.17,4.57
BOXER,5.02,6.37
BOY,6.01,4.76
BOYFRIEND,6.3,5.77
BRACELET,6.03,4.82
BRACES,3.97,5.15
BRAIN,6.34,5.58
BRAKE,5.04,5.3
BRAN,5.09,4.33
BRANCH,5.57,4.37
BRANDY,5.54,4.76
BREAD,6.47,3.98
BREAST,6.38,6
BRICK,5.02,4.79
BRIDE,6.72,5.22
BRIDGE,5.64,4.99
BRIEFCASE,5.13,4.67
BROCCOLI,5.55,4.47
BROOK,6.38,3.15
BROOM,4.92,4.46
BROTHER,6.41,4.88
BRUISE,3.18,6.09
BRUNETTE,6.53,4.97
BRUSH,5.46,4.23
BUBBLE,6.41,3.92
BUCKET,5.1,4.46
BUCKLE,5.19,4.75
BUFFALO,5.78,5.29
BUG,3.66,5.82
BUGGY,4.9,4.64
BUGLE,5.24,5.45
BUILDER,5.62,5.24
BUILDING,5.52,4.81
BULB,5.53,4.59
BULL,4.76,6.41
BULLET,3.31,7
BULLETIN,5.18,5.28
BULLY,2.34,6.95
BUN,5.82,4.37
BUNNY,7.03,3.64
BUREAU,4.79,4.76
BURGLAR,2.38,7.31
BUS,5,5.02
BUSH,5.11,4.27
BUTCHER,4.4,6.05
BUTLER,5.33,4.53
BUTTER,5.99,4.14
BUTTERFLY,7.18,3.52
BUTTON,5.48,4.43
BUYER,5.43,5.36
CAB,5.12,5.01
CABBAGE,4.95,4.33
CABIN,6.26,3.52
CABINET,5.38,4.4
CABLE,5.54,4.84
CABOOSE,5.37,4.93
CACTUS,4.82,5.49
CAFE,6.41,4.43
CAFETERIA,5.44,5.12
CAGE,3.54,6.04
CAKE,7.28,4.98
CALCULATOR,5.41,4.72
CALENDAR,5.5,4.59
CALF,5.84,4
CAMEL,5.36,4.66
CAMERA,6.35,5.27
CAN,5.2,4.51
CANAL,5.39,4.49
CANARY,6.26,4.33
CANDIDATE,4.85,5.44
CANDLE,6.31,3.8
CANDY,7.14,5.35
CANE,4.65,4.68
CANNON,4.38,6.57
CANOE,5.98,4.22
CANVAS,5.77,4.22
CANYON,5.98,4.64
CAP,5.41,4.33
CAPE,5.65,4.58
CAPITAL,5.42,5.28
CAPTAIN,5.54,5.78
CAPTIVE,2.9,7
CAR,6.02,5.66
CARAVAN,5.35,4.96
CARD,5.65,4.28
CARDINAL,6.14,4.26
CARNIVAL,6.75,6.67
CARPENTER,5.59,4.93
CARPET,5.58,4.01
CARRIAGE,5.67,4.41
CARROT,5.97,4.31
CART,5.32,4.54
CARTON,5.1,4.49
CASH,7.15,6.37
CASHEW,6.29,4.47
CASHIER,5.47,4.96
CASKET,2.73,6.22
CASTLE,6.31,5.59
CAT,6.6,4.29
CATCHER,5.39,5.02
CATERPILLAR,5.35,4.39
CATHEDRAL,5.75,4.16
CATTLE,5.35,4.6
CAULIFLOWER,4.92,4.39
CAVE,5.08,5.27
CAVITY,2.72,6.4
CEILING,5.3,4.2
CELERY,5.24,4.29
CELLAR,4.71,4.73
CELLO,6.02,4.05
CEMETERY,3.05,5.7
CENT,5.52,4.66
CERAMICS,5.79,4.36
CEREAL,6.31,4.12
CHAIN,4.54,5.29
CHAIR,5.63,4.05
CHAIRPERSON,4.84,4.92
CHALK,5.1,4.22
CHAMBER,5.01,4.96
CHAMPAGNE,6.33,5.41
CHAMPION,6.78,6.09
CHAPEL,5.59,3.83
CHARCOAL,5.16,4.74
CHART,5.38,4.65
CHAUFFEUR,5.5,4.68
CHECK,5.64,5.5
CHECKERS,5.96,4.4
CHEDDAR,6.4,4.68
CHEEK,5.58,4.61
CHEERLEADER,5.97,6.19
CHEESE,6.54,4.48
CHEF,6.31,4.96
CHEMICAL,4.19,6.01
CHEMIST,5.49,5.49
CHERRY,6.77,4.83
CHESS,5.75,4.25
CHEST,5.65,5.03
CHICK,6.23,4.87
CHICKEN,6.14,4.74
CHIEF,5.35,5.57
CHILD,6.21,5.02
CHIME,6.02,4.48
CHIMNEY,5.31,4.43
CHIMPANZEE,5.83,6.05
CHIP,5.62,4.76
CHIPMUNK,6.2,4.65
CHISEL,4.95,5.3
CHOCOLATE,7.52,5.28
CHURCH,4.86,4.14
CIGAR,3.81,5.06
CIGARETTE,3,5.9
CINNAMON,6.81,4.75
CIRCUS,6.03,6.25
CITIZEN,5.76,4.91
CITRUS,6.56,4.93
CITY,5.8,6.16
CLAM,4.95,4.23
CLAMP,4.51,5.23
CLARINET,5.8,4.57
CLASS,5.5,5.05
CLAW,4.26,6.07
CLAY,5.49,4.13
CLERK,5.29,4.62
CLIFF,4.64,6.38
CLIMBER,5.52,5.61
CLIPPERS,4.94,5.06
CLOCK,5.52,4.6
CLOSET,5.27,4.3
CLOTHES,6.03,4.55
CLOUD,6.46,2.78
CLOVE,5.45,4.14
CLOWN,4.91,5.96
COACH,5.68,5.37
COAL,4.45,4.91
COAT,5.7,4.23
COB,5.15,4.39
COBBLER,6.15,4.55
COBRA,3.45,7.33
COBWEB,3.49,5.13
COCKTAIL,6.06,5.17
COCOON,5.17,3.84
COD,5.01,4.44
COFFEE,6.7,5.61
COFFIN,2.53,6.24
COIN,6.02,5.02
COLESLAW,5.08,4.44
COLLAR,4.97,4.48
COLLEGE,6.21,5.64
COLOGNE,5.7,5.11
COLONEL,4.99,5.61
COLT,5.93,4.97
COLUMN,5.31,4.52
COMB,5.33,4
COMEDIAN,6.82,6
COMET,5.96,6.2
COMMANDER,5.01,6.22
COMMITTEE,4.86,5
COMMUNITY,6.32,4.61
COMPANION,6.78,4.42
COMPASS,5.62,4.8
COMPUTER,6.81,5.57
CONCERT,6.74,6.36
CONCRETE,4.91,4.61
CONDUCTOR,5.5,5.2
CONE,5.5,4.46
CONSOLE,5.71,4.28
CONSUMER,5.27,5.13
CONTAINER,5.42,4.43
CONTINENT,5.66,4.87
CONTRACT,4.77,5.38
CONTRACTOR,5.01,5.2
CONVENT,4.81,3.8
CONVICT,2.39,7.14
COOK,6.32,4.89
COOKBOOK,6.22,4.24
COOKIE,7.32,4.93
COOLER,5.85,4.24
COP,4.42,6.74
COPIER,5.11,4.56
CORAL,6.21,4.04
CORD,5.04,4.71
CORK,5.25,4.36
CORN,6,4.22
CORPORATION,4.07,5.58
COSTUME,5.87,5.28
COTTAGE,6.29,3.42
COTTON,6.19,3.5
COUCH,6.05,3.31
COUGAR,5.61,6.64
COUNTRY,6.12,4.37
COUNTY,5.48,4.46
COURSE,5.31,4.84
COURT,4.07,6.19
COUSIN,6.21,4.59
COW,5.66,4.07
COWARD,2.81,5.88
COWBOY,5.81,5.65
COYOTE,4.7,6.2
CRAB,5.24,5.15
CRACKER,5.78,4.52
CRADLE,5.76,3.6
CRATER,4.55,5.49
CRAYON,6.23,4.27
CREAM,6.08,4.23
CREATURE,4.71,5.95
CREEK,6.37,3.31
CREVICE,4.31,5.16
CREW,5.49,5.01
CRIB,5.66,4.1
CRICKET,4.77,4.44
CRIMINAL,2.4,7.22
CRITIC,3.8,6.08
CROCODILE,4.16,6.86
CROOK,2.51,6.78
CROSS,5.26,4.81
CROW,4.61,5.43
CROWN,5.93,5.42
CRUMB,4.64,4.38
CRUTCH,3.96,5.43
CRYSTAL,6.43,4.96
CUB,6.24,4.59
CUBE,5.3,4.29
CUCUMBER,5.82,4.28
CUE,5.23,4.8
CUFF,4.65,5.05
CUP,5.45,4.27
CUPBOARD,5.43,4.12
CURB,4.83,4.54
CURTAIN,5.54,4.12
CUSHION,6.27,3.45
CUSTARD,5.75,4.34
CUSTOMER,5.42,5.22
CYCLONE,3.44,7.34
CYLINDER,5.22,4.63
DAD,6.85,4.73
DAGGER,3.88,6.89
DAISY,7.01,3.36
DAM,5.15,4.96
DANCER,6.31,5.73
DANDELION,5.82,3.61
DANDRUFF,2.81,5.47
DART,4.86,5.84
DASHBOARD,5.39,4.83
DAUGHTER,6.8,4.71
DECK,5.68,4.01
DEER,6.3,4
DELINQUENT,2.85,6.55
DENIM,5.85,4.33
DENTIST,3.52,6.91
DEODORANT,5.73,4.65
DEPARTMENT,5.06,4.8
DEPUTY,4.98,6.07
DESIGNER,5.88,5.09
DESK,5.47,4.43
DESSERT,7.21,5.35
DETECTIVE,5.33,6.09
DETERGENT,5.39,4.57
DIAGRAM,5.3,4.68
DIAL,5.27,4.65
DIAMOND,6.93,5.88
DIAPER,3.45,5.05
DIARY,5.54,4.58
DICE,5.53,5.31
DICTATOR,2.57,6.77
DICTIONARY,5.73,4.75
DIGGER,4.94,5.14
DILL,5.09,4.49
DIME,5.75,4.95
DINER,6.26,4.72
DINNER,6.83,4.76
DINOSAUR,5.87,6.32
DIPLOMA,6.69,5.51
DIRECTOR,5.29,5.54
DIRT,3.99,4.89
DISC,5.36,4.58
DISH,5.61,4.29
DISHWASHER,5.52,4.69
DIVER,5.61,5.5
DOCK,5.61,4.12
DOCTOR,5.38,6.15
DOCUMENT,5.18,4.68
DOG,7.07,4.97
DOLL,5.71,4.01
DOLLAR,6.63,6.02
DOLPHIN,6.75,4.34
DONKEY,5.29,4.94
DONOR,6.29,5.09
DOOR,5.43,4.56
DOORBELL,5.12,5.47
DORM,5.12,5.03
DOUGH,6.03,4.15
DOUGHNUT,6.86,5.05
DOVE,6.62,3.07
DRAGON,5.39,6.96
DRAWER,5.3,4.31
DRAWING,6.21,4.36
DRESS,6.09,4.66
DRESSER,5.48,4.26
DRILL,4.74,6
DRINK,6.5,4.73
DRIVER,5.67,5.54
DRIVEWAY,5.36,4.42
DRUG,3.69,6.2
DRUM,5.8,5.62
DRYER,5.48,4.43
DUCK,6.11,4.36
DUMP,3.05,5.44
DUNE,5.43,4.05
DUNGEON,3.03,6.93
DUST,3.55,4.72
DUSTPAN,4.45,4.51
DWARF,4.82,4.83
DYNAMITE,3.9,7.22
EAGLE,6.45,5.39
EAR,5.43,4.6
EARRING,5.88,5.04
EARTH,6.95,4.82
EDITOR,5.32,5.09
EDITORIAL,5.23,4.91
EGG,5.95,4.36
EGYPT,5.62,5.84
ELBOW,5.13,4.6
ELECTRICIAN,5.45,5.37
ELECTRON,5.49,5.24
ELEPHANT,6.21,5.29
ELEVATOR,5.38,5.12
ELF,5.9,5.02
ELK,5.82,4.62
ELM,5.89,3.77
EMERALD,6.84,5.3
EMPEROR,4.76,5.98
EMPIRE,5.04,6.08
EMPLOYEE,5.34,5.02
EMPLOYER,5.13,5.73
ENCYCLOPEDIA,5.85,4.69
ENEMY,2.48,7.28
ENGINE,5.49,5.67
ENGINEER,5.8,5.11
ENVELOPE,5.38,4.44
ERASER,5.33,4.44
ESCALATOR,5.54,5.15
FACE,6,4.99
FACTORY,4.59,5.44
FAIRY,6.44,4.35
FAMILY,7.28,4.39
FAN,6.12,4.72
FARM,6.19,4.19
FARMER,6.14,4.2
FATHER,6.55,4.75
FAUCET,5.35,4.52
FEAST,6.98,5.54
FEATHER,6.06,3.46
FELLOW,5.77,4.44
FEMALE,6.91,5.48
FENCE,5.09,4.4
FIDDLE,5.87,4.85
FIELD,6.13,3.79
FIG,5.54,4.25
FIGHTER,4.41,6.92
FILM,6.33,5.14
FIN,5.24,4.86
FINGER,5.47,4.75
FINGERNAIL,4.93,4.82
FIREMAN,6.35,6.35
FIREPLACE,6.55,3.95
FISH,5.78,4.38
FIST,3.98,6.37
FLAG,5.94,5.25
FLANNEL,5.62,3.53
FLASHLIGHT,5.71,4.82
FLASK,5.36,4.84
FLEA,2.6,6.04
FLEET,5.24,5.35
FLESH,4.81,5.72
FLIPPER,5.53,4.81
FLOOR,5.23,4.22
FLORIDA,6.06,5.19
FLOUR,5.68,4.06
FLOWER,7.17,3.28
FLUTE,6.15,4.27
FLY,4.18,5.58
FOE,3.07,6.64
FOLDER,5.31,4.29
FOLLOWER,4.74,4.98
FOOT,5.05,4.58
FOOTBALL,5.81,5.91
FOREHEAD,5.19,4.51
FOREST,6.65,3.81
FORK,5.34,4.81
FORT,5.51,5.17
FOSSIL,5.79,4.81
FOUNTAIN,6.53,3.9
FOX,5.84,5.66
FRAGRANCE,6.29,5.02
FRAME,5.3,4.56
FRANCE,6.15,5.49
FRECKLE,5.43,4.59
FREEWAY,5.04,6.04
FREEZER,5.34,4.82
FRIAR,5.14,4.27
PLATE,5.49,4.4
PLAYGROUND,6.72,5.34
PLAZA,5.66,4.97
PLIERS,4.79,5.23
PLUM,6.25,4.3
PLUMBER,4.8,5
PLUTO,5.83,4.97
FRIEND,7.68,4.5
FRIES,6.65,5.11
FROG,5.41,4.75
FROST,4.96,4.74
FRUIT,6.99,4.49
FUDGE,6.91,4.98
FUGITIVE,2.73,7.07
FUNERAL,2.16,6.27
FUNGUS,2.97,5.91
FUR,5.41,4.5
FURNITURE,5.86,4.15
GALAXY,6.64,5.62
GALLON,5.34,4.62
GANG,2.76,6.87
GANGSTER,2.84,7.06
GARAGE,5.35,4.38
GARBAGE,2.74,5.52
GARDEN,6.94,3.22
GARLIC,5.61,5.08
GATE,5.45,4.6
GAUZE,4.38,4.78
GAVEL,4.67,5.5
GAZELLE,6.06,4.61
GEM,6.74,5.35
GENERAL,5.16,5.58
GENTLEMAN,6.62,4.67
GERM,2.76,6.2
GHETTO,2.64,6.53
GHOST,3.96,6.53
GIFT,7.41,5.72
GIRAFFE,6.34,4.98
GIRL,6.77,5.29
GLACIER,5.51,4.83
GLASS,5.74,4.69
GLASSES,5.48,4.45
GLOBE,6.14,4.84
GLOVE,5.46,4.3
GLUE,5.15,4.71
GOAT,5.46,4.86
GOBLIN,3.63,6.46
GODDESS,6.59,5.78
GOLD,6.94,5.99
GOO,3.77,5.26
GOOSE,5.71,4.46
GORILLA,5.36,6.31
GOVERNOR,4.63,5.41
GOWN,5.98,4.78
GRADUATE,6.69,5.57
GRAPE,6.58,4.59
GRASS,6.32,3.09
GRASSHOPPER,4.95,4.85
GRATE,4.62,5.02
GRAVE,2.8,5.99
GRAVEL,4.68,4.63
GREASE,3.88,5.3
GRILL,6.04,5.24
GRIZZLY,4.22,6.88
GROCERIES,6.26,4.95
GROCERY,5.98,4.86
GROOM,6.16,5.15
GROUND,5.32,4.1
GUARD,5.17,5.81
GUARDIAN,6.09,4.79
GUEST,5.76,5.07
GUITAR,6.59,5.12
GULL,4.98,4.2
GUM,5.77,4.46
GUN,3.58,7.39
GYM,5.51,5.95
GYMNAST,5.99,5.71
HAIL,3.93,5.96
HALL,5.29,4.34
HAM,5.95,4.81
HAMBURGER,6.64,5.36
HAMMER,4.95,5.76
HAMMOCK,6.72,2.55
HAMPER,4.78,4.28
HAND,5.58,4.52
HANDBAG,5.64,4.56
HANDCUFFS,3.41,6.95
HANDKERCHIEF,5.2,4.1
HANGER,4.91,4.7
HARE,5.76,4.36
HARP,6.32,3.55
HAT,5.65,4.32
HATCHET,3.88,6.47
HAWK,5.81,5.87
HAY,5.31,3.91
HAYSTACK,5.51,3.94
HEAD,5.57,5.01
HEADBAND,5.38,4.42
HEART,6.6,5.22
HEATER,5.88,4.73
HEDGE,5.4,4.15
HEEL,5.05,4.66
HELICOPTER,5.81,6.15
HELMET,5.34,5.08
HEN,5.64,4.25
HERB,6.07,4.02
HERD,5.16,4.96
HERO,7.22,6.21
HIGHWAY,5.15,5.68
HIKER,5.8,5.4
HINGE,5.13,4.7
HIP,5.52,4.82
HOE,4.63,4.81
HOME,7.38,2.76
HONEY,6.91,4.1
HOOD,4.97,4.84
HOOK,4.54,5.49
HOOP,5.52,4.7
HORIZON,6.44,3.72
HORNET,2.81,7
HORSE,6.29,4.88
HOSE,5.3,4.66
HOSPITAL,4.08,6.68
HOSTAGE,2.5,7.48
HOSTESS,5.9,5.06
HOUND,5.35,5.28
HOUSE,6.55,3.86
HUMAN,6.41,5.21
HURRICANE,2.88,7.53
HUSBAND,6.54,4.89
HUT,5.22,4.32
ICE,5.58,4.81
ICEBERG,4.73,5.33
ICING,6.57,4.73
IDOL,5.34,5.57
IGLOO,5.71,4.48
INCENSE,5.6,4.14
INDIAN,5.64,5.28
INFANT,6.27,4.87
INMATE,2.71,6.82
INN,5.99,3.89
INSECT,3.71,6
INSTRUCTOR,5.57,5.28
INTESTINE,3.8,5.74
INVENTOR,6.32,5.52
IRON,4.93,4.95
ISLAND,6.89,3.77
ITEM,5.15,4.58
JACKET,5.75,4.34
JAM,5.88,4.6
JAPAN,6.09,5.53
JAR,5.31,4.41
JAW,4.8,5.12
JEANS,6.15,4.52
JEEP,5.85,5.42
JELLO,6.29,4.16
JELLY,5.98,4.56
JET,5.81,6.33
JEWEL,6.72,5.48
JOINT,5.13,4.85
JOKER,5.33,5.79
JOURNAL,5.73,4.37
JUDGE,4.75,6.17
JUG,5.24,4.29
JUGGLER,5.89,5.57
JUNGLE,5.48,5.87
JUPITER,6.05,5.28
JURY,4.53,6.1
JUVENILE,4.58,5.35
KANGAROO,6.22,5.16
KEEPER,5.64,4.74
KEG,5.64,5.39
KETCHUP,5.97,4.63
KETTLE,5.57,4.48
KEY,5.68,4.9
KEYBOARD,5.89,5.01
KID,6.01,5.17
KIDNEY,4.82,5.16
KING,5.58,5.77
KITCHEN,6.18,4.54
KITE,6.43,4.4
KITTEN,7.59,4.01
KIWI,6.43,4.46
KLEENEX,5.16,4.27
KNAPSACK,5.48,4.4
KNEE,5.19,4.77
KNIFE,4.18,6.64
KNIGHT,6.12,5.83
KNOB,5.13,4.44
KNOT,4.93,4.93
KNUCKLE,4.76,5.2
LABEL,5.09,4.46
LABYRINTH,5.18,6.21
LACE,6.3,4.26
LADDER,5.31,4.9
LADY,6.65,5.15
LAGOON,6.2,3.8
LAKE,6.85,3.38
LAMB,6.31,3.4
LAMP,5.65,4.2
LANDSCAPE,6.41,3.42
LAPEL,5.28,4.45
LASER,5.61,6.17
LASH,4.06,5.62
LAUNDRY,4.57,4.77
LAVA,4.32,6.61
LAWN,6.05,3.42
LAWYER,4.16,6.19
LEADER,5.81,5.78
LEAF,6.02,3.53
LEG,5.49,4.69
LEMON,5.88,4.84
LENS,5.54,4.46
